1BM15IS001,16IS5DCDBM,0,13,18,0,0,0
1BM15IS002,16IS5DCDBM,15,18,19,0,0,0
1BM15IS003,16IS5DCDBM,8,16,19,0,0,0
1BM15IS004,16IS5DCDBM,17,16,18,0,0,0
1BM15IS005,16IS5DCDBM,19,8,6,0,0,0
1BM15IS006,16IS5DCDBM,0,11,18,0,0,0
1BM15IS007,16IS5DCDBM,0,20,20,0,0,0
1BM15IS008,16IS5DCDBM,0,18,16,0,0,0
1BM15IS009,16IS5DCDBM,0,19,17,0,0,0
1BM15IS010,16IS5DCDBM,0,12,16,0,0,0
1BM15IS011,16IS5DCDBM,6,9,7,0,0,0
1BM15IS012,16IS5DCDBM,13,19,19,0,0,0
1BM15IS013,16IS5DCDBM,20,20,20,0,0,0
1BM15IS014,16IS5DCDBM,0,7,9,0,0,0
1BM15IS015,16IS5DCDBM,17,18,0,0,0,0
1BM15IS016,16IS5DCDBM,0,14,17,0,0,0
1BM15IS017,16IS5DCDBM,15,12,19,0,0,0
1BM15IS018,16IS5DCDBM,10,10,18,0,0,0
1BM15IS019,16IS5DCDBM,0,13,16,0,0,0
1BM15IS020,16IS5DCDBM,18,0,20,0,0,0
1BM15IS021,16IS5DCDBM,9,0,0,0,0,0
1BM15IS022,16IS5DCDBM,13,9,18,0,0,0
1BM15IS024,16IS5DCDBM,0,19,13,0,0,0
1BM15IS025,16IS5DCDBM,0,15,19,0,0,0
1BM15IS026,16IS5DCDBM,2,18,14,0,0,0
1BM15IS027,16IS5DCDBM,9,0,14,0,0,0
1BM15IS028,16IS5DCDBM,16,17,18,0,0,0
1BM15IS029,16IS5DCDBM,17,16,0,0,0,0
1BM15IS030,16IS5DCDBM,13,14,18,0,0,0
1BM15IS031,16IS5DCDBM,14,14,19,0,0,0
1BM15IS032,16IS5DCDBM,13,0,11,0,0,0
1BM15IS033,16IS5DCDBM,5,15,16,0,0,0
1BM15IS034,16IS5DCDBM,10,17,18,0,0,0
1BM15IS035,16IS5DCDBM,13,12,17,0,0,0
1BM15IS036,16IS5DCDBM,17,0,19,0,0,0
1BM15IS037,16IS5DCDBM,0,17,20,0,0,0
1BM15IS038,16IS5DCDBM,17,16,17,0,0,0
1BM15IS039,16IS5DCDBM,16,17,12,0,0,0
1BM15IS040,16IS5DCDBM,15,11,14,0,0,0
1BM15IS041,16IS5DCDBM,6,16,14,0,0,0
1BM15IS042,16IS5DCDBM,18,20,13,0,0,0
1BM15IS043,16IS5DCDBM,19,20,18,0,0,0
1BM15IS044,16IS5DCDBM,17,14,18,0,0,0
1BM15IS045,16IS5DCDBM,14,18,16,0,0,0
1BM15IS046,16IS5DCDBM,14,11,20,0,0,0
1BM15IS047,16IS5DCDBM,0,8,13,0,0,0
1BM15IS049,16IS5DCDBM,0,11,11,0,0,0
1BM15IS050,16IS5DCDBM,0,19,19,0,0,0
1BM15IS051,16IS5DCDBM,0,7,18,0,0,0
1BM15IS052,16IS5DCDBM,0,11,14,0,0,0
1BM15IS053,16IS5DCDBM,17,19,20,0,0,0
1BM15IS054,16IS5DCDBM,13,11,14,0,0,0
1BM14IS066,16IS5DCDBM,5,16,8,0,0,0
1BM14IS017,16IS5DCDBM,17,0,9,0,0,0
1BM14IS027,16IS5DCDBM,0,0,0,0,0,0
1BM13IS089,16IS5DCDBM,17,18,19,0,0,0
a,16IS5DCDBM,16,18,0,0,0,0
bv,16IS5DCDBM,13,9,14,0,0,0
c,16IS5DCDBM,9,16,0,0,0,0
c,16IS5DCDBM,10,13,12,0,0,0
t,16IS5DCDBM,12,16,0,0,0,0
t,16IS5DCDBM,9,10,14,0,0,0
fgb,16IS5DCDBM,8,11,0,0,0,0
srb,16IS5DCDBM,13,0,12,0,0,0
srh,16IS5DCDBM,8,13,13,0,0,0
1BM13IS101,16IS5DCDBM,8,14,14,0,0,0
reg,16IS5DCDBM,0,10,14,0,0,0
rth5,16IS5DCDBM,0,11,13,0,0,0
